Who / What,Use case,Description,Sense,Remember,Create,Decide,Learn,Illuminate network,Incentivize,Feed,Collaborate (Module),Connect,Curate,Collaborate (AI),Compute,Community,Market,Ecosystem,"Democratic ""voting""",Democracy,Consumer / retail,Healthcare,"Public sector, NGO","Manufacturing hardw., Infra",High Tech (software),Financial services,Professional services,"Media, telco, entertainment",Agriculture,"Energy, nat. resources",Education and academia,"Supply chain, real estate"
"Large communities from Apple, PatientsLikeMe, Wikipedia",Produce intellectual property or curate knowledge ,"Can communities create and store technical knowledge? Online communities are one of the largest emerging social phenomena of the last quarter-century. Apple is one of the most prominent nodes, and the algorithms of both Facebook and YouTube exercise significant control on how those communities behave. Communities provide creativity and additional resources that are typically not accessible by normal hierarchical organization. But they’re harder to set up and direct.",1.0,2.0,2.0,,2.0,2.0,1.0,2.0,2.0,1,1.0,1,,2.0,,,,,,,,,1.0,,,,,,,
Banking sales department,"Cross sell of financial products across siloed product groups through ""invisible"" network employees","A cohort of mid-tier employees was instrumental in the cross-selling of financial products in an investment banking firm, by enabling smaller transactions across different (and otherwise siloed) product groups and effectively serving as integrators across org chart divides. Without dedicated support and recognition, many of these valuable staff members were leaving the firm. Once their role was highlighted, incentives and support structure were put in place and the overall organization benefited.",2.0,,1.0,1.0,,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,
Crowdhelix,Improve startups' R&D,"At the intersection of academia’s invention and funded innovation at scale, is Europe-centered Crowdhelix – “that forges links between an international network of excellent researchers and innovating companies, so that they can plan and deliver pioneering collaborative projects."" ",,,1.0,,,2.0,1.0,,2.0,,,,2.0,1.0,,,,,,1.0,,,,,,,,,,
Mindsumo,Improve access to qualified gig workers,Mindsumo crowdsources work to university students.,,,2.0,,,2.0,1.0,,2.0,,,,,,1.0,,,,,,,,,,1.0,,,,,
A.Team,Build teams of tech freelancers,"A.team provides access to a marketplace of talented freelancers, but goes one step beyond the traditional approach of companies like Fiverr or Upwork: it assembles teams, able to perform more complex and innovative work than the typical gig that other platforms enable.",1.0,,2.0,,,2.0,1.0,,2.0,1,,2,,1.0,2.0,,,,,,,,1.0,,,,,,,
"UpWork, Fiverr",Find quality freelancers,One of the first and most established contractor marketplaces,,1.0,,,,2.0,2.0,,1.0,2,,1,,,2.0,,,,,,,,,,1.0,,,,,
Quantopian,Improve access to freelancing quants,"Quantopian's contests, populated by thousands of “quants” from various fields, aim at creating new, and radically diverse, financial markets trading algorithms.",,1.0,2.0,1.0,,2.0,1.0,,1.0,,,1,,,1.0,,,,,,,,,,1.0,,,,,
Lens Protocol API,Connect a developer ecosystem,"Web3 technology offer great promise for the engagement of skilled communities such as developers. But the technical requirements to build such infrastructure can be daunting. Companies like Lens Protocol try to simplify the composability of community-engagement mechanism, by building specialized modules for connection and incentivization. ",1.0,,1.0,,,2.0,1.0,,1.0,2,,1,,1.0,1.0,,,,,,,,1.0,,,,,,,
Apple,Create network effects for developers,"Apple AppStore's creates incentives and standards for developers, hence generating emergent optimization dynamics that result in competitive strength. Apple only touches the system's ""high-leverage"" points (e.g. policies, security, payment, performance), and the system then largely optimizes itself. ",1.0,1.0,2.0,1.0,1.0,1.0,2.0,,2.0,1,,2,1.0,,1.0,,,,,,,,1.0,,,,,,,
Microsoft,Create network effects for developers,"Microsoft has established a strong market ""ecosystem"" through its technical and commercial platform for developers who use their products. They support the commercialization thanks to the cross-selling those developers can do on the back of Microsoft's market presence. They also control some important high-leverage points of the system, such as security and policies standards to help with trust and control, and collaboration through GitHub. They also support the cybersecurity layer. The result is an emerging, intelligent adaptation of the network. ",1.0,1.0,2.0,1.0,1.0,1.0,2.0,,2.0,1,,2,1.0,,1.0,,,,,,,,1.0,,,,,,,
